dataset,horizon,n_rows,n_groups,purity,n_mixed_groups,n_mixed_rows,auc_full,auc_mixed_only,gap
highD,3,20514,10115,0.0,10115,20514,0.8967,0.8967,0.0
NGSIM,3,4268,1400,0.0,1400,4268,0.8105,0.8105,0.0
MiTra,3,27465,7379,0.0,7379,27465,0.8937,0.8937,0.0
ETRI,3,261,59,0.0,59,261,0.7247,0.7247,0.0
EMT,3,1444,295,0.0,295,1444,0.6498,0.6498,0.0
uniD,3,11099,4168,0.0,4168,11099,0.918,0.918,0.0
exiD,3,82924,21085,0.0,21085,82924,0.9957,0.9957,0.0
highD,5,13172,6554,0.0,6554,13172,0.812,0.812,0.0
NGSIM,5,4091,1352,0.0,1352,4091,0.7149,0.7149,0.0
MiTra,5,26184,7168,0.0,7168,26184,0.8465,0.8465,0.0
ETRI,5,201,40,0.0,40,201,0.6647,0.6647,0.0
EMT,5,966,187,0.0,187,966,0.5553,0.5553,0.0
uniD,5,8355,3408,0.0,3408,8355,0.8844,0.8844,0.0
exiD,5,26142,7895,0.0,7895,26142,0.9944,0.9944,0.0
highD,7,7304,3643,0.0,3643,7304,0.8264,0.8264,0.0
NGSIM,7,3827,1283,0.0,1283,3827,0.6565,0.6565,0.0
MiTra,7,24995,6941,0.0,6941,24995,0.8242,0.8242,0.0
ETRI,7,172,30,0.0,30,172,0.6463,0.6463,0.0
EMT,7,754,140,0.0,140,754,0.5822,0.5822,0.0
uniD,7,6648,2935,0.0,2935,6648,0.8523,0.8523,0.0
exiD,7,7350,2155,0.0,2155,7350,0.9738,0.9738,0.0
