auc,ece,brier,n_rows,positive_count,n_vehicles,n_recordings,n_physical_recordings,auc_server_delta,ece_server_delta,brier_server_delta,run,protocol,seed,eval_set,fraction,condition
0.4867246240601504,0.2328215922403838,0.3148236286686815,261,133,59,5,5,5.551115123125783e-17,-1.828389609159764e-08,0.0,A1_recording_full48_s0,A1_recording,0,ETRI,,
0.456012639779513,0.2433454653482335,0.3231893279562929,82924,49422,21085,181,93,5.551115123125783e-17,-2.6355606752570537e-08,5.551115123125783e-17,A1_recording_full48_s0,A1_recording,0,exiD,,
0.8716593188667826,0.012254999006719,0.1458811661513435,12481,6255,4810,20,20,1.1102230246251563e-16,2.5651584502350833e-10,0.0,A1_recording_full48_s0,A1_recording,0,source_test,,
0.5300029547751779,0.2277971359945015,0.3164072171313968,11099,5663,4168,13,13,0.0,9.104456438757682e-09,0.0,A1_recording_full48_s0,A1_recording,0,uniD,,
0.4790883458646616,0.2590464855815458,0.3311876150706799,261,133,59,5,5,0.0,-5.554036786037386e-09,0.0,A1_recording_full48_s1,A1_recording,1,ETRI,,
0.4527338024458447,0.2586370762832268,0.3263870285285373,82924,49422,21085,181,93,-5.551115123125783e-17,1.2267193594261984e-08,5.551115123125783e-17,A1_recording_full48_s1,A1_recording,1,exiD,,
0.8689236864043332,0.0174819919985717,0.1474942965909104,13140,6588,5191,20,20,0.0,1.3648550310774166e-09,0.0,A1_recording_full48_s1,A1_recording,1,source_test,,
0.4918512718981779,0.2477536132301239,0.3251762507695807,11099,5663,4168,13,13,-1.1102230246251563e-16,8.749515029160548e-09,0.0,A1_recording_full48_s1,A1_recording,1,uniD,,
0.4943609022556391,0.2181888426621926,0.3184331515555416,261,133,59,5,5,5.551115123125783e-17,-4.214145421510551e-09,0.0,A1_recording_full48_s42,A1_recording,42,ETRI,,
0.486139917739197,0.2294783025584797,0.3112065535654575,82924,49422,21085,181,93,0.0,-8.644327614826253e-09,-5.551115123125783e-17,A1_recording_full48_s42,A1_recording,42,exiD,,
0.8693825616751818,0.0155593066566509,0.147451790130025,9973,4999,4239,20,20,-1.1102230246251563e-16,-1.612326824135257e-09,2.775557561562892e-17,A1_recording_full48_s42,A1_recording,42,source_test,,
0.5459413453738473,0.1997478318051865,0.299907134724215,11099,5663,4168,13,13,0.0,-6.690267589926081e-09,0.0,A1_recording_full48_s42,A1_recording,42,uniD,,
0.9669931921493372,0.0368931426356385,0.0685164528121222,22808,13971,5826,51,27,-2.220446049250313e-16,3.453057705743445e-08,0.0,A2_physical_recording_exiD_s0_f0.1_continuation,A2_physical_recording,0,exiD,0.1,continuation
